minuto,jugador,tipo_gol,equipo,marcador,cod_acta
83,"LYAGOUBI, MOHAMED AMINE",Normal,S.D. CRUCES,2-3,1187000
85,"JAR PENIDO, ALVARO",Normal,C.F. SILLEDA,2-4,1187000
22,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,1-0,1187001
31,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,1-1,1187001
60,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,2-1,1187001
76,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,3-1,1187001
49,"ARIAS GARCIA, SERGIO",Normal,TRAZO C.F.,1-0,1187002
74,"ARIAS GARCIA, SERGIO",Normal,TRAZO C.F.,2-0,1187002
90'+3,"PEREIRAS PEREIRO, RAFAEL",Normal,A.C.U.D. CAMPORRAPADO,2-1,1187002
38,"GUTIERREZ VAZQUEZ, EDUARDO",Normal,C.D.BELVIS,0-1,1187003
75,"RUZA VAZQUEZ, BRAIS",Normal,C.D.BELVIS,0-2,1187003
83,"FERNANDEZ GONZALEZ, IAGO JOSE",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187004
87,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,0-2,1187004
37,"VAZQUEZ NOVAS, MANUEL",Normal,C.F. CIRE DE MELIDE,1-0,1187005
50,"GARCIA LOPEZ, ALEJANDRO",Normal,C.F. CIRE DE MELIDE,2-0,1187005
90'+1,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,3-0,1187005
55,"OTERO ARIAS, JOSE L",Normal,RODEIRO C.F.,1-0,1187006
26,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,1-0,1187007
36,"CARBALLAL MONTEAGUDO, SAUL",Normal,S.D. CACHEIRAS,2-0,1187007
6,"SUAREZ PEON, DIEGO",Normal,C.F. SILLEDA,1-0,1187008
8,"RODRIGUEZ LANDEIRA, SERGIO J",Normal,S.D. DUBRA B,1-1,1187008
5,"FERREIRA PARENTE, RAUL",Normal,TRAZO C.F.,0-1,1187009
6,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,1-1,1187009
19,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,2-1,1187009
34,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,3-1,1187009
45'+1,"VILLAMAYOR RIVADULLA, PEDRO",Normal,LAMELA C.F.,4-1,1187009
