jugador_entra,jugador_sale,minuto,equipo,cod_acta
"FERNÁNDEZ GALLAS, RODRIGO","GUTIERREZ VAZQUEZ, EDUARDO",89,C.D.BELVIS,1186969
"DOMINGUEZ VAZQUEZ, CRISTIAN","FERNANDEZ REBOREDO, JUAN",62,S.D. CRUCES,1186970
"JACOME AMARANTE, IVAN","VAZQUEZ BALBOA, XURXO",62,S.D. CRUCES,1186970
"MENDEZ REIMONDEZ, SANTIAGO","OTERO IGLESIAS, OSCAR",68,S.D. CRUCES,1186970
"CORBAL CANGADO, BENITO","GRANJA HERMIDA, JESUS ANTONIO",68,S.D. CRUCES,1186970
"LYAGOUBI, MOHAMED AMINE","GONZALEZ SANCHEZ, ALEJANDRO",76,S.D. CRUCES,1186970
"GOMEZ LOPEZ, EZEQUIEL","CHEDAS DURAN, ALFONSO",67,C.D. SPORT TEAM ESTRADA,1186970
"LAHSAN, MESAUD MOHAMED FADEL","CERVIÑO CARRACEDO, ANDRES",67,C.D. SPORT TEAM ESTRADA,1186970
"TOUCEDA GOLDAR, MIGUEL","GOMEZ CORA, ADRIAN",79,C.D. SPORT TEAM ESTRADA,1186970
"RIVEIRA DA COSTA, MARTIN","FORTES OTERO, RAFAEL",79,C.D. SPORT TEAM ESTRADA,1186970
"TARRIO MEJUTO, ANGEL","FERREIRO TORRES, BORJA",83,C.D. SPORT TEAM ESTRADA,1186970
"FORJAN GARCIA, ADRIAN","BALEATO DOMINGUEZ, MARCO",46,S.D. DUBRA B,1186971
"RAMAS MUIÑO, MARTIN","RODRIGUEZ LANDEIRA, SERGIO J",46,S.D. DUBRA B,1186971
"IGLESIAS DOMINGUEZ, OSCAR","VÁZQUEZ FERNÁNDEZ, ROBERTO",46,S.D. DUBRA B,1186971
"ARNEJO DIAZ, BRAIS","RODRIGUEZ FERNANDEZ, ADRIAN",69,S.D. DUBRA B,1186971
"NOYA ALCALDE, MATEO","RAMAS MUIÑO, YAGO",84,S.D. DUBRA B,1186971
