jugador_entra,jugador_sale,minuto,equipo,cod_acta
"VILA IGLESIAS, JORDAN","MACEIRA MATO, ALFONSO",66,C.D. SAN MAMED,1187034
"LOPEZ REY, JOSE LUIS","REY CALVO, BRAIS",89,C.D. SAN MAMED,1187034
"ESPANTOSO LAMAS, JORGE","ALONSO GIL, GUILLERMO",46,C.F. SILLEDA,1187034
"RIELO COUSO, HUGO","PEREZ FERNANDEZ, NUNO",55,C.F. SILLEDA,1187034
"PICANS REY, HUGO","ESPANTOSO LAMAS, RICARDO",72,C.F. SILLEDA,1187034
"ESPIÑO RODRIGUEZ, AARON","CAMBEIRO COSTA, AIRAS",72,C.F. SILLEDA,1187034
"FERREIRO ESPANTOSO, DIEGO","(90'+4) FERNÁNDEZ GARCÍA, RUBÉN",0,C.F. SILLEDA,1187034
"PAMPIN NOGUEROL, DANIEL","PARRADO ROMERO, CARLOS",65,C.F. CIRE DE MELIDE,1187035
"CASTRELO FERNANDEZ, MIGUEL","VAZQUEZ NOVAS, MANUEL",76,C.F. CIRE DE MELIDE,1187035
"RIVADULLA FOCIÑOS, MARCOS","MOSTEIRO GARCIA, SERGIO",84,C.F. CIRE DE MELIDE,1187035
"RODRIGUEZ RODRIGUEZ, JACOBO","PEREIRO SANCHEZ, DAVID",84,C.F. CIRE DE MELIDE,1187035
"AGUIAR RODRIGUEZ, JULIAN","VARELA VAZQUEZ, DAVID",27,LAMELA C.F.,1187035
"RIVEIRA MURCIA, HUGO","VILLAMAYOR RIVADULLA, PEDRO",57,LAMELA C.F.,1187035
"LÓPEZ PÉREZ, ALBERTO","LUGO PADIN, ESTEBAN",57,LAMELA C.F.,1187035
"SANIN CARBIA, ALBERTO","AGUIAR RODRIGUEZ, JULIAN",74,LAMELA C.F.,1187035
"LÓPEZ GONZÁLEZ, IGNACIO","CALVO DAFONTE, RAÚL",60,RODEIRO C.F.,1187036
"LAMAZARES CASERO, ALBERTO","ROMERO MONTOUTO, PABLO",79,RODEIRO C.F.,1187036
"VEIGA ROSENDE, IAGO","LOPEZ BREA, SANTIAGO",46,A.C.U.D. CAMPORRAPADO,1187036
"SANMARTIN LAREO, MANUEL ANGEL","LOPEZ CANICOBA, FABIAN",65,A.C.U.D. CAMPORRAPADO,1187036
"PEREIRAS PEREIRO, RAFAEL","VIEITES BOUZON, MARTIN",65,A.C.U.D. CAMPORRAPADO,1187036
"GUERRERO NIEVES, FRANCISCO J","DE LA FUENTE SUAREZ, RUBEN",72,A.C.U.D. CAMPORRAPADO,1187036
"GARCIA DURAN, RUBEN","NOYA GOMEZ, DANIEL",46,S.D.C. RECESENDE,1187037
"MEIJOME QUINTANA, RODRIGO","MARTINS TERRON, WAGNER RONALDO",46,S.D.C. RECESENDE,1187037
"VILAS CONSTANTINO, BORJA","VILAS CONSTANTINO, ADRIAN",63,S.D.C. RECESENDE,1187037
"CALVO CUTRIN, RAUL","JIMÉNEZ ALBARRAN, SERGIO",63,S.D.C. RECESENDE,1187037
"SEIJO CASTRO, YAGO","RUZA VAZQUEZ, BRAIS",59,C.D.BELVIS,1187037
"BERNAL PENAS, LUCAS","IGLESIAS QUINTEIRO, JOSE RAMON",68,C.D.BELVIS,1187037
"FERNÁNDEZ GALLAS, RODRIGO","VILLAVERDE SIXTO, BRAIS",69,C.D.BELVIS,1187037
"MAESTRE CALVO, DAVID RAFAEL","CARRIL CARREIRA, RAFAEL",59,SOCIEDADE DEPORTIVA O PINO,1187038
"VILLAR VILLAR, IVAN","CEREIJO IGLESIAS, ALBERTO L",75,SOCIEDADE DEPORTIVA O PINO,1187038
"PAZO DURO, JAVIER","CANABAL CASTRO, ISMAEL",81,SOCIEDADE DEPORTIVA O PINO,1187038
"IGLESIAS PALLAS, FERNANDO","FERNANDEZ GONZALEZ, IAGO JOSE",46,C.D. SPORT TEAM ESTRADA,1187038
"BARRUSO ARIAS, HUGO","CHEDAS DURAN, ALFONSO",56,C.D. SPORT TEAM ESTRADA,1187038
"ULLA COSTA, RICARDO","GOMEZ LOPEZ, EZEQUIEL",65,C.D. SPORT TEAM ESTRADA,1187038
"GOMEZ CORA, ADRIAN","MIGUEZ VIDAL, DANIEL",71,C.D. SPORT TEAM ESTRADA,1187038
"FORJAN GARCIA, ADRIAN","RODRIGUEZ LANDEIRA, SERGIO J",46,S.D. DUBRA B,1187039
"ARIAS GARCIA, SERGIO","CELA LOPEZ, LUIS",46,TRAZO C.F.,1187039
"CEBEY DE LA TORRE, MANUEL","BOVEDA TOSAR, ANDRE",63,TRAZO C.F.,1187039
"BECERRA VARELA, ESTEBAN","FERREIRA PARENTE, RAUL",63,TRAZO C.F.,1187039
"MARTINEZ DE SANTIAGO, DIEGO","GARABATO RUIBAL, ANGEL",89,TRAZO C.F.,1187039
"SANMARTIN GARCIA, MARCOS","FERNANDEZ REBOREDO, JUAN",46,S.D. CRUCES,1187040
"DOMINGUEZ GARCIA, ADRIAN","OTERO IGLESIAS, OSCAR",46,S.D. CRUCES,1187040
"GRANJA HERMIDA, JESUS ANTONIO","GONZALEZ EIRAS, FABIO J",83,S.D. CRUCES,1187040
"VAZQUEZ BALBOA, XURXO","DOMINGUEZ VAZQUEZ, CRISTIAN",88,S.D. CRUCES,1187040
"LYAGOUBI, MOHAMED AMINE","(90+1') LOPEZ REY, LEO",0,S.D. CRUCES,1187040
"VILLA MARIÑO, SERGIO","RODRIGUEZ GONZALEZ, YAGO",65,S.D. VILLESTRO,1187040
"PEROL SEOANE, MICHAEL","BRITO GUZMAN, ALVARO",65,S.D. VILLESTRO,1187040
"PEREZ RIO, VICTOR","VIDAL LOSA, ROBERTO",71,S.D. VILLESTRO,1187040
"BERMUDEZ MALLO, ADEL","LORENZO GARRIDO, JORGE",84,S.D. VILLESTRO,1187040
"BAUTISTA SANDOVAL, EMIL DANIEL","ROMERO DURO, SANDRO",73,S.D. CACHEIRAS,1187041
"DA CONCEICAO ANTUNES, FELIPE MATHEUS","OTERO MATEOS, PABLO",83,S.D. CACHEIRAS,1187041
"DOSUNA SOUTO, BRAIS","VAAMONDE CALVIÑO, MANUEL",89,S.D. CACHEIRAS,1187041
"VILA IGLESIAS, JORDAN","MACEIRA MATO, ALFONSO",49,C.D. SAN MAMED,1187041
"REY VAZQUEZ, MARCOS","VAZQUEZ PEÑA, JOSE L",68,C.D. SAN MAMED,1187041
"REY CALVO, BRAIS","GRANATA LOPEZ, DANIEL",68,C.D. SAN MAMED,1187041
"CAMBEIRO COSTA, AIRAS","ESPANTOSO LAMAS, RICARDO",65,C.F. SILLEDA,1187042
"PICANS REY, HUGO","RIELO COUSO, HUGO",65,C.F. SILLEDA,1187042
"ESPIÑO RODRIGUEZ, AARON","RIADIGOS MARIÑO, MARTIN",81,C.F. SILLEDA,1187042
"FERREIRO ESPANTOSO, DIEGO","FERNÁNDEZ GARCÍA, RUBÉN",93,C.F. SILLEDA,1187042
"CASTRELO FERNANDEZ, MIGUEL","VAZQUEZ NOVAS, MANUEL",67,C.F. CIRE DE MELIDE,1187042
"PARRADO ROMERO, CARLOS","PAMPIN NOGUEROL, DANIEL",67,C.F. CIRE DE MELIDE,1187042
"SESTO MOSQUERA, ANXO","MOSTEIRO GARCIA, SERGIO",84,C.F. CIRE DE MELIDE,1187042
"RIVADULLA FOCIÑOS, MARCOS","GARCIA COSTOYA, JORGE",88,C.F. CIRE DE MELIDE,1187042
"VARELA VAZQUEZ, DAVID","VILLAMAYOR RIVADULLA, PEDRO",30,LAMELA C.F.,1187043
"CUIÑA IGLESIAS, DANIEL","PEITEADO MOLEDO, SERGIO",30,LAMELA C.F.,1187043
"CASTRO DOMINGUEZ, FRANCISCO","GARCIA REY, ALEJANDRO",30,LAMELA C.F.,1187043
"LUGO PADIN, ESTEBAN","SANIN CARBIA, ALBERTO",60,LAMELA C.F.,1187043
"ABONJO BOUZAS, ALEJANDRO","ESPIÑO CUIÑA, LOIS",66,LAMELA C.F.,1187043
"LÓPEZ MÉNDEZ, MARCOS","ROMERO MONTOUTO, PABLO",46,RODEIRO C.F.,1187043
"CANGADO VILLAMARIN, CARLOS","BERNARDEZ VILAR, ALEJANDRO",55,RODEIRO C.F.,1187043
"LAMAZARES CASERO, ALBERTO","BARREIRO TURNES, MOISES",61,RODEIRO C.F.,1187043
"CUÑARRO FERNÁNDEZ, PABLO","CALVO DAFONTE, RAÚL",61,RODEIRO C.F.,1187043
"LÓPEZ GONZÁLEZ, IGNACIO","GARCIA SA, JOSE ANTONIO",80,RODEIRO C.F.,1187043
"GUERRERO NIEVES, FRANCISCO J","PARADA CASTIÑEIRAS, OSCAR",64,A.C.U.D. CAMPORRAPADO,1187044
"VIEITES BOUZON, MARTIN","VEIGA ROSENDE, IAGO",64,A.C.U.D. CAMPORRAPADO,1187044
"PEREIRAS PEREIRO, RAFAEL","LOPEZ CANICOBA, FABIAN",79,A.C.U.D. CAMPORRAPADO,1187044
"SANMARTIN LAREO, MANUEL ANGEL","ALDREY GONTAD, XIAN",80,A.C.U.D. CAMPORRAPADO,1187044
"LOPEZ BREA, SANTIAGO","GARCIA CASAL, IVAN",80,A.C.U.D. CAMPORRAPADO,1187044
"MOIMENTA MOHAMMED, MIGUEL","MARTINS TERRON, WAGNER RONALDO",61,S.D.C. RECESENDE,1187044
"GARCIA DURAN, RUBEN","JIMÉNEZ ALBARRAN, SERGIO",61,S.D.C. RECESENDE,1187044
"DE LA TORRE CUEVAS, FERNANDO","CALVO CUTRIN, RAUL",72,S.D.C. RECESENDE,1187044
"IGLESIAS QUINTEIRO, JOSE RAMON","RUZA VAZQUEZ, BRAIS",61,C.D.BELVIS,1187045
"MIGUEZ MEIJOMIL, MIGUEL","SEIJO CASTRO, YAGO",61,C.D.BELVIS,1187045
"BERNAL PENAS, LUCAS","VILLAVERDE SIXTO, BRAIS",70,C.D.BELVIS,1187045
"GOMES DA FONSECA, RODRIGO","VILLAR VILLAR, IVAN",46,SOCIEDADE DEPORTIVA O PINO,1187045
"FARIÑAS LOPEZ, ALEJANDRO","GARCIA SENRA, DIEGO",46,SOCIEDADE DEPORTIVA O PINO,1187045
"PORTOS VILLAR, BORJA","MAESTRE CALVO, DAVID RAFAEL",65,SOCIEDADE DEPORTIVA O PINO,1187045
"RIAL CHICO, DANIEL","CENDON GONZALEZ, JOSE",71,SOCIEDADE DEPORTIVA O PINO,1187045
"PAZ CARRACEDO, ANXO","CALVIÑO IGLESIAS, PABLO",46,U.D. VAL DO ULLA,1187046
"CERDEIRA OTERO, ANDRE","SANCHEZ CARPINTEIRO, MIGUEL",46,U.D. VAL DO ULLA,1187046
"LANDEIRA GANDARA, FRANCISCO","TAIBO MERA, FRANCISCO",65,U.D. VAL DO ULLA,1187046
"FREIRIA LOPEZ, JORGE","NEIRA CARPINTEIRO, PABLO",74,U.D. VAL DO ULLA,1187046
"CANICOBA BERNARDEZ, BRAIS","SANJUAS CASAL, SERGIO",83,U.D. VAL DO ULLA,1187046
"LAHSAN, MESAUD MOHAMED FADEL","GOMEZ CORA, ADRIAN",46,C.D. SPORT TEAM ESTRADA,1187046
"GOMEZ LOPEZ, EZEQUIEL","BARRUSO ARIAS, HUGO",70,C.D. SPORT TEAM ESTRADA,1187046
"ULLA COSTA, RICARDO","CERVIÑO CARRACEDO, ANDRES",79,C.D. SPORT TEAM ESTRADA,1187046
"RIVADULLA QUINTAS, LUIS MIGUEL","VARELA MIRANDA, MATEO",83,C.D. SPORT TEAM ESTRADA,1187046
"TARRIO MEJUTO, ANGEL","FERREIRO TORRES, BORJA",83,C.D. SPORT TEAM ESTRADA,1187046
"RODRIGUEZ NUÑEZ, XABIER","AMBOAGE VILLAR, IVAN",56,U.D. VAL DO ULLA,1187047
"CASAL REBOLO, PEDRO J","RAMOS CERNADAS, FRANCISCO J",65,U.D. VAL DO ULLA,1187047
"CANICOBA BERNARDEZ, BRAIS","FREIRIA LOPEZ, JORGE",65,U.D. VAL DO ULLA,1187047
"TAIBO MERA, FRANCISCO","(90+1') FREIRIA LOPEZ, IGNACIO",0,U.D. VAL DO ULLA,1187047
"LANDEIRA GANDARA, FRANCISCO","(90+1') SANCHEZ CARPINTEIRO, MIGUEL",0,U.D. VAL DO ULLA,1187047
"ARIAS GARCIA, SERGIO","NOYA BREA, ALVARO",46,TRAZO C.F.,1187047
"BECERRA VARELA, ESTEBAN","FERREIRA PARENTE, RAUL",46,TRAZO C.F.,1187047
"POSE ANTELO, ALVARO","GARABATO RUIBAL, ANGEL",68,TRAZO C.F.,1187047
"MARTINEZ DE SANTIAGO, DIEGO","GOMEZ FERNANDEZ, SIMON",68,TRAZO C.F.,1187047
"CASTRO OTERO, SAMUEL","BOVEDA TOSAR, ANDRE",80,TRAZO C.F.,1187047
"GRANDE GOYANES, DIEGO","VILLA MARIÑO, SERGIO",46,S.D. VILLESTRO,1187048
"BERMUDEZ MALLO, ADEL","VIDAL LOSA, ROBERTO",46,S.D. VILLESTRO,1187048
"VIDAL VALES, BORJA","PEREZ RIO, VICTOR",58,S.D. VILLESTRO,1187048
"GARCIA MARROZOS, XABIER","CERNADAS NOYA, LUCAS",46,S.D. DUBRA B,1187048
"PARAMA SUAREZ, DAVID RAFAEL","DUBRA LORENZO, ALEJANDRO",58,S.D. DUBRA B,1187048
"RODRIGUEZ FERNANDEZ, ADRIAN","IGLESIAS DOMINGUEZ, OSCAR",68,S.D. DUBRA B,1187048
"BALEATO DOMINGUEZ, MARCO","RODRIGUEZ LANDEIRA, SERGIO J",85,S.D. DUBRA B,1187048
"BESTEIRO SAEZ, JAVIER","REY VAZQUEZ, MARCOS",46,C.D. SAN MAMED,1187049
"LOPEZ REY, JOSE LUIS","REY CALVO, BRAIS",63,C.D. SAN MAMED,1187049
"VILA IGLESIAS, JORDAN","LOUZAO FERNANDEZ, MANUEL",63,C.D. SAN MAMED,1187049
"LOPEZ REY, LEO","OTERO IGLESIAS, OSCAR",65,S.D. CRUCES,1187049
"GRANJA HERMIDA, JESUS ANTONIO","VAZQUEZ BALBOA, XURXO",77,S.D. CRUCES,1187049
"LYAGOUBI, MOHAMED AMINE","FERNANDEZ REBOREDO, JUAN",85,S.D. CRUCES,1187049
"PAMPIN NOGUEROL, DANIEL","MOSTEIRO GARCIA, SERGIO",69,C.F. CIRE DE MELIDE,1187050
"CASTRELO FERNANDEZ, MIGUEL","VAZQUEZ NOVAS, MANUEL",69,C.F. CIRE DE MELIDE,1187050
"SOUTO BUJAN, JULIO","ROMERO DURO, SANDRO",25,S.D. CACHEIRAS,1187050
"BAUTISTA SANDOVAL, EMIL DANIEL","OTERO MATEOS, PABLO",76,S.D. CACHEIRAS,1187050
"DA CONCEICAO ANTUNES, FELIPE MATHEUS","SALGUEIRO POMBO, DAVID",81,S.D. CACHEIRAS,1187050
"LÓPEZ GONZÁLEZ, IGNACIO","PENELA MONTOTO, CRISTIAN",34,RODEIRO C.F.,1187051
"CUÑARRO FERNÁNDEZ, PABLO","ROMERO MONTOUTO, PABLO",69,RODEIRO C.F.,1187051
"CANGADO VILLAMARIN, CARLOS","GARCIA VENCE, JOSE MANUEL",85,RODEIRO C.F.,1187051
"BARCALA FERNANDEZ, RODRIGO","BERNARDEZ VILAR, ALEJANDRO",85,RODEIRO C.F.,1187051
"JAR PENIDO, ALVARO","NUÑEZ GONZALEZ, MIGUEL",67,C.F. SILLEDA,1187051
"ESPIÑO RODRIGUEZ, AARON","PICANS REY, HUGO",67,C.F. SILLEDA,1187051
"PEÑA PENALTA, IKER","ALONSO GIL, GUILLERMO",85,C.F. SILLEDA,1187051
"FERREIRO ESPANTOSO, DIEGO","LOPEZ DE LA FUENTE, ELOI",85,C.F. SILLEDA,1187051
"CALVO CUTRIN, RAUL","NOYA GOMEZ, DANIEL",62,S.D.C. RECESENDE,1187052
"GARCIA DURAN, RUBEN","MEIJOME QUINTANA, RODRIGO",62,S.D.C. RECESENDE,1187052
"GARCIA CARRERA, MANUEL","VILLAMAYOR RIVADULLA, PEDRO",54,LAMELA C.F.,1187052
"RODRIGUEZ FARIÑA, ALEJANDRO","LUGO PADIN, ESTEBAN",54,LAMELA C.F.,1187052
"ABONJO BOUZAS, ALEJANDRO","RIOS ALCAIDE, JUAN MANUEL",70,LAMELA C.F.,1187052
"GARCIA REY, ALEJANDRO","VARELA VAZQUEZ, DAVID",70,LAMELA C.F.,1187052
"PORTELA RIVAS, XIAO","FIGUEIRAS GAGO, ALEJANDRO",82,LAMELA C.F.,1187052
"GOMES TAVARES, RAFAEL ANDRE","PORTOS VILLAR, BORJA",46,SOCIEDADE DEPORTIVA O PINO,1187053
"VILLAR VILLAR, IVAN","FUENTES PARRA, DANIEL",46,SOCIEDADE DEPORTIVA O PINO,1187053
"CARRIL CARREIRA, RAFAEL","CANABAL CASTRO, ISMAEL",61,SOCIEDADE DEPORTIVA O PINO,1187053
"PAZO DURO, JAVIER","MAESTRE CALVO, DAVID RAFAEL",68,SOCIEDADE DEPORTIVA O PINO,1187053
"MALLO DUBRA, ALEJANDRO","VAZQUEZ CORRAL, JORGE",83,SOCIEDADE DEPORTIVA O PINO,1187053
"SANMARTIN LAREO, MANUEL ANGEL","ESPADA PAZOS, JORGE",20,A.C.U.D. CAMPORRAPADO,1187053
"GUERRERO NIEVES, FRANCISCO J","PAJARO BARRAN, DANIEL",68,A.C.U.D. CAMPORRAPADO,1187053
"PEREIRAS PEREIRO, RAFAEL","GARCIA CASAL, IVAN",75,A.C.U.D. CAMPORRAPADO,1187053
"GOMEZ CORA, ADRIAN","CHEDAS DURAN, ALFONSO",63,C.D. SPORT TEAM ESTRADA,1187054
"LAHSAN, MESAUD MOHAMED FADEL","FERNANDEZ GONZALEZ, IAGO JOSE",63,C.D. SPORT TEAM ESTRADA,1187054
"GOMEZ LOPEZ, EZEQUIEL","FERNÁNDEZ RIVAS, MARTÍN",73,C.D. SPORT TEAM ESTRADA,1187054
"TOUCEDA GOLDAR, MIGUEL","IGLESIAS PALLAS, FERNANDO",82,C.D. SPORT TEAM ESTRADA,1187054
"SANTIAGO RIVAS, MARIO","BATISTA RAMOS, WALDIR F",28,C.D.BELVIS,1187054
"BERNAL PENAS, LUCAS","IGLESIAS QUINTEIRO, JOSE RAMON",57,C.D.BELVIS,1187054
"FARIÑAS FREIRE, OSCAR","RAMOS CASTRO, ANDRÉS",57,C.D.BELVIS,1187054
"SEIJO CASTRO, YAGO","MIGUEZ MEIJOMIL, MIGUEL",75,C.D.BELVIS,1187054
"BOVEDA TOSAR, ANDRE","BECERRA VARELA, ESTEBAN",60,TRAZO C.F.,1187055
"NIETO GESTO, CARLOS","POSE ANTELO, ALVARO",60,TRAZO C.F.,1187055
"FERREIRA PARENTE, RAUL","GOMEZ FERNANDEZ, SIMON",69,TRAZO C.F.,1187055
"PEREZ RIO, VICTOR","VIDAL LOSA, ROBERTO",64,S.D. VILLESTRO,1187055
"PEREZ MARCOS, VICTOR","RODRIGUEZ GONZALEZ, YAGO",71,S.D. VILLESTRO,1187055
"BERMUDEZ MALLO, ADEL","GONZALEZ CARBALLO, ANXO",77,S.D. VILLESTRO,1187055
"FIGUEIRAS PORTELA, FERNANDO","ZAGATO PEREIRA, JOAO VITOR",77,S.D. VILLESTRO,1187055
"RIVAS SUAREZ, MARTIN","RAMAS MUIÑO, MARTIN",17,S.D. DUBRA B,1187056
"FORJAN GARCIA, ADRIAN","BALEATO DOMINGUEZ, MARCO",69,S.D. DUBRA B,1187056
"RODRIGUEZ FERNANDEZ, ADRIAN","IGLESIAS DOMINGUEZ, OSCAR",86,S.D. DUBRA B,1187056
"VÁZQUEZ FERNÁNDEZ, ROBERTO","BARDANCA REY, GONZALO",86,S.D. DUBRA B,1187056
"GRANATA LOPEZ, DANIEL","CHAS BROCOS, IAGO SENEN",61,C.D. SAN MAMED,1187056
"VILA IGLESIAS, JORDAN","MACEIRA MATO, ALFONSO",66,C.D. SAN MAMED,1187056
"BESTEIRO SAEZ, JAVIER","REY CALVO, BRAIS",66,C.D. SAN MAMED,1187056
"SANTISO TORREIRO, RICARDO","FUENTES IGLESIAS, CARLOS",69,S.D. CRUCES,1187057
"SANTISO PENAS, MANUEL","LOPEZ REY, LEO",69,S.D. CRUCES,1187057
"GRANJA HERMIDA, JESUS ANTONIO","DOMINGUEZ GARCIA, ADRIAN",79,S.D. CRUCES,1187057
"GONZALEZ SANCHEZ, ALEJANDRO","OTERO IGLESIAS, OSCAR",90,S.D. CRUCES,1187057
"VAZQUEZ RAMOS, OMAR A","SESTO MOSQUERA, ANXO",46,C.F. CIRE DE MELIDE,1187057
"PARRADO ROMERO, CARLOS","MOSTEIRO GOMEZ, ADRIAN",63,C.F. CIRE DE MELIDE,1187057
"CASTRELO FERNANDEZ, MIGUEL","PAMPIN NOGUEROL, DANIEL",63,C.F. CIRE DE MELIDE,1187057
"DOSUNA SOUTO, BRAIS","ROMERO DURO, SANDRO",71,S.D. CACHEIRAS,1187058
"DA CONCEICAO ANTUNES, FELIPE MATHEUS","BAUTISTA SANDOVAL, EMIL DANIEL",71,S.D. CACHEIRAS,1187058
"JIMENEZ BERTUA, FRANCISCO J","SOUTO BUJAN, JULIO",86,S.D. CACHEIRAS,1187058
"CEPEDA MENDOZA, ALEJANDRO","OTERO MATEOS, PABLO",95,S.D. CACHEIRAS,1187058
"ROMERO MONTOUTO, PABLO","BARCALA FERNANDEZ, RODRIGO",46,RODEIRO C.F.,1187058
"GARCIA SA, JOSE ANTONIO","CALVO DAFONTE, RAÚL",72,RODEIRO C.F.,1187058
"LAMAZARES CASERO, ALBERTO","CUÑARRO FERNÁNDEZ, PABLO",79,RODEIRO C.F.,1187058
"CANGADO VILLAMARIN, CARLOS","BERNARDEZ VILAR, ALEJANDRO",89,RODEIRO C.F.,1187058
"JAR PENIDO, ALVARO","FERREIRO ESPANTOSO, DIEGO",46,C.F. SILLEDA,1187059
"ESPANTOSO LAMAS, RICARDO","JAR PENIDO, ALVARO",46,C.F. SILLEDA,1187059
"FERNÁNDEZ GARCÍA, RUBÉN","CAMBEIRO COSTA, AIRAS",66,C.F. SILLEDA,1187059
"CURINI RODRÍGUEZ, ROBERTO","PEREZ FERNANDEZ, NUNO",76,C.F. SILLEDA,1187059
"DERKAOUI BOUH, AYOUB","RIVERO MONTOTO, NUNO",84,C.F. SILLEDA,1187059
"MOSQUERA GARRIDO, DIEGO","CALVO CUTRIN, RAUL",46,S.D.C. RECESENDE,1187059
"VILAS CONSTANTINO, ADRIAN","JIMÉNEZ ALBARRAN, SERGIO",46,S.D.C. RECESENDE,1187059
"MARTINS TERRON, WAGNER RONALDO","NOYA GOMEZ, DANIEL",66,S.D.C. RECESENDE,1187059
"GARCIA DURAN, RUBEN","ROSENDE MARTINEZ, ALEJANDRO",79,S.D.C. RECESENDE,1187059
"GARCIA CARRERA, MANUEL","ABONJO BOUZAS, ALEJANDRO",56,LAMELA C.F.,1187060
"CANABAL DE LA FUENTE, CRISTIAN","ESPIÑO CUIÑA, LOIS",56,LAMELA C.F.,1187060
"LÓPEZ PÉREZ, ALBERTO","VILLAMAYOR RIVADULLA, PEDRO",72,LAMELA C.F.,1187060
"GOMEZ SANTISO, ALEJANDRO","CASTRO DOMINGUEZ, FRANCISCO",77,LAMELA C.F.,1187060
"GARCIA REY, ALEJANDRO","RIVEIRA MURCIA, HUGO",77,LAMELA C.F.,1187060
"RIAL CHICO, DANIEL","CARRIL CARREIRA, RAFAEL",31,SOCIEDADE DEPORTIVA O PINO,1187060
"VARELA SOUTO, OSCAR","VILLAR VILLAR, IVAN",70,SOCIEDADE DEPORTIVA O PINO,1187060
"MALLO DUBRA, ALEJANDRO","PAZO DURO, JAVIER",70,SOCIEDADE DEPORTIVA O PINO,1187060
"PORTOS VILLAR, BORJA","FUENTES PARRA, DANIEL",70,SOCIEDADE DEPORTIVA O PINO,1187060
"VEIGA ROSENDE, IAGO","SANMARTIN LAREO, MANUEL ANGEL",50,A.C.U.D. CAMPORRAPADO,1187061
"PEREIRAS PEREIRO, RAFAEL","MILLAN OCAMPO, JOSE ANTONIO",62,A.C.U.D. CAMPORRAPADO,1187061
"PAJARO BARRAN, DANIEL","VIEITES BOUZON, MARTIN",62,A.C.U.D. CAMPORRAPADO,1187061
"RAMOS REY, NOEL","GARCIA CASAL, IVAN",76,A.C.U.D. CAMPORRAPADO,1187061
"CHEDAS DURAN, ALFONSO","GOMEZ LOPEZ, EZEQUIEL",50,C.D. SPORT TEAM ESTRADA,1187061
"ULLA COSTA, RICARDO","GOMEZ CORA, ADRIAN",50,C.D. SPORT TEAM ESTRADA,1187061
"TOUCEDA GOLDAR, MIGUEL","CERVIÑO CARRACEDO, ANDRES",82,C.D. SPORT TEAM ESTRADA,1187061
"RIVADULLA QUINTAS, LUIS MIGUEL","FERNANDEZ GONZALEZ, IAGO JOSE",87,C.D. SPORT TEAM ESTRADA,1187061
"FARIÑAS FREIRE, OSCAR","IGLESIAS QUINTEIRO, JOSE RAMON",58,C.D.BELVIS,1187062
"VAZQUEZ POMAR, MARCOS","VILLAVERDE SIXTO, BRAIS",67,C.D.BELVIS,1187062
"RODRIGUEZ VILAS, BRAIS","RAMOS CASTRO, ANDRÉS",88,C.D.BELVIS,1187062
"RODRIGUEZ NUÑEZ, XABIER","SANCHEZ CARPINTEIRO, MIGUEL",24,U.D. VAL DO ULLA,1187062
"TAIBO MERA, FRANCISCO","BESADA REY, NICOLAS",46,U.D. VAL DO ULLA,1187062
"AMBOAGE VILLAR, IVAN","DIEGUEZ LOUREIRO, RAMIRO",65,U.D. VAL DO ULLA,1187062
"LANDEIRA GANDARA, FRANCISCO","CALVIÑO IGLESIAS, PABLO",82,U.D. VAL DO ULLA,1187062
"CASAL REBOLO, PEDRO J","FREIRIA LOPEZ, JORGE",82,U.D. VAL DO ULLA,1187062
"RAMOS REY, NOEL","VIEITES BOUZON, MARTIN",54,A.C.U.D. CAMPORRAPADO,1187063
"PAJARO BARRAN, DANIEL","MILLAN OCAMPO, JOSE ANTONIO",80,A.C.U.D. CAMPORRAPADO,1187063
"TABOADA SEIJO, ALEJANDRO","PEREIRAS PEREIRO, RAFAEL",86,A.C.U.D. CAMPORRAPADO,1187063
"GUERRERO NIEVES, FRANCISCO J","VEIGA ROSENDE, IAGO",86,A.C.U.D. CAMPORRAPADO,1187063
"RODRIGUEZ VILAS, BRAIS","FARIÑAS FREIRE, OSCAR",66,C.D.BELVIS,1187063
"PROL BREA, DIEGO","BATISTA RAMOS, WALDIR F",72,C.D.BELVIS,1187063
"RIOS ALCAIDE, JUAN MANUEL","ABONJO BOUZAS, ALEJANDRO",46,LAMELA C.F.,1187064
"AGUIAR RODRIGUEZ, JULIAN","RIVEIRA MURCIA, HUGO",46,LAMELA C.F.,1187064
"VARELA VAZQUEZ, DAVID","ESPIÑO CUIÑA, LOIS",46,LAMELA C.F.,1187064
"SANIN CARBIA, ALBERTO","VILLAMAYOR RIVADULLA, PEDRO",71,LAMELA C.F.,1187064
"GOMEZ SANTISO, ALEJANDRO","FIGUEIRAS GAGO, ALEJANDRO",77,LAMELA C.F.,1187064
"MIGUEZ VIDAL, DANIEL","FUENTES CORREA, MANUEL",62,C.D. SPORT TEAM ESTRADA,1187064
"GOMEZ CORA, ADRIAN","CHEDAS DURAN, ALFONSO",62,C.D. SPORT TEAM ESTRADA,1187064
"GOMEZ LOPEZ, EZEQUIEL","BARRUSO ARIAS, HUGO",69,C.D. SPORT TEAM ESTRADA,1187064
"ULLA COSTA, RICARDO","CERVIÑO CARRACEDO, ANDRES",77,C.D. SPORT TEAM ESTRADA,1187064
"TARRIO MEJUTO, ANGEL","FERREIRO TORRES, BORJA",77,C.D. SPORT TEAM ESTRADA,1187064
"PEÑA PENALTA, IKER","PEREZ FERNANDEZ, NUNO",58,C.F. SILLEDA,1187065
